Filename,Category,Word,Start Date ,End Date,Description
Boris,global,India,06/04/2020,16/04/2020,Modi and Boris Johnson
PandemicDeclared,health,pandemic,11/03/2020,20/03/2020,COVID-19 declared a pandemic
standwithItaly,global,#WeStandWithItaly,17/04/2020,27/04/2020,We Stand With Italy
Yemen,global,#5YearsOfWarOnYemen,27/03/2020,06/04/2020,5 Year of War in Yemen
CoronaWarriors,health,Warrior,08/04/2020,18/04/2020,Thank you Corona Warriors
Bleach,us,Trump,24/04/2020,03/05/2020,Trump suggests bleach
Panic,social,panic,03/03/2020,12/03/2020,Panic starts trending
Eid,social,Eid,23/05/2020,31/05/2020,Eid festivities disrupted
George Floyd,us,black,25/05/2020,31/05/2020,Protest spark for the killing of George Floyd
Banksy,health,hospital,06/05/2020,16/05/2020,New Banksy piece celebrates healthcare workers
Dow Jones,economy,close,12/03/2020,22/03/2020,Dow Jones market's plummet
IMF,economy,Business,15/04/2020,25/04/2020,Worst economic downturn since great depression
China Law,global,China,21/05/2020,31/05/2020,China imposes new controversial law
Travel Ban,global,travel,13/03/2020,23/03/2020,US imposes travel ban for Europe